assembly_version	biosample_accession	bioproject_accession	organism	genus	n_arg_occurrences	n_plasmid_args	n_chromosomal_args	pct_plasmid	n_distinct_families	n_arg_bearing_replicons	n_arg_bearing_plasmids
GCA_028622775.1	SAMN32733960	PRJNA812595	Acinetobacter baumannii	Acinetobacter	8	0	8	0.0	7	1	0
GCA_028622915.1	SAMN32734002	PRJNA812595	Acinetobacter baumannii	Acinetobacter	9	0	9	0.0	6	1	0
GCA_028634015.3	SAMN33288250	PRJNA812595	Acinetobacter baumannii	Acinetobacter	4	0	4	0.0	4	1	0
GCA_028635255.3	SAMN33288246	PRJNA288601	Klebsiella pneumoniae	Klebsiella	18	14	4	77.778	17	3	2
GCA_028657965.1	SAMN19459915	PRJNA733816	Acinetobacter schindleri	Acinetobacter	6	0	6	0.0	6	1	0
GCA_028751665.1	SAMN19522711	PRJNA734730	Acinetobacter nosocomialis	Acinetobacter	8	7	1	87.5	7	4	3
GCA_028751705.1	SAMN20255403	PRJNA729463	Acinetobacter baumannii	Acinetobacter	12	0	12	0.0	12	1	0
GCA_028752795.1	SAMN20255405	PRJNA729463	Acinetobacter baumannii	Acinetobacter	13	0	13	0.0	13	1	0
GCA_028752815.1	SAMN20255406	PRJNA729463	Acinetobacter baumannii	Acinetobacter	14	0	14	0.0	14	1	0
GCA_028753295.1	SAMN30174926	PRJNA865004	Acinetobacter baumannii	Acinetobacter	7	0	7	0.0	7	1	0
GCA_028906655.3	SAMN33193817	PRJNA288601	Klebsiella pneumoniae	Klebsiella	20	16	4	80.0	20	2	1
GCA_029024105.1	SAMN33336513	PRJNA936091	Acinetobacter lwoffii	Acinetobacter	1	0	1	0.0	1	1	0
GCA_029025705.1	SAMN33440631	PRJNA938586	Acinetobacter pittii	Acinetobacter	3	0	3	0.0	3	1	0
GCA_029025845.1	SAMN33268550	PRJNA935860	Acinetobacter sp.	Acinetobacter	2	0	2	0.0	2	1	0
GCA_029168355.1	SAMN33446732	PRJNA938823	Acinetobacter soli	Acinetobacter	12	11	1	91.667	11	2	1
GCA_029168375.1	SAMN33465848	PRJNA939379	Acinetobacter soli	Acinetobacter	12	11	1	91.667	11	2	1
GCA_029168395.1	SAMN33475902	PRJNA939410	Acinetobacter johnsonii	Acinetobacter	14	13	1	92.857	13	2	1
GCA_029168415.1	SAMN33466342	PRJNA939380	Acinetobacter soli	Acinetobacter	12	11	1	91.667	11	2	1
GCA_029168435.1	SAMN33466636	PRJNA939381	Acinetobacter soli	Acinetobacter	12	11	1	91.667	11	2	1
GCA_029168455.1	SAMN33467113	PRJNA939382	Acinetobacter johnsonii	Acinetobacter	10	9	1	90.0	9	2	1
GCA_029168475.1	SAMN33446574	PRJNA938819	Acinetobacter baumannii	Acinetobacter	14	1	13	7.143	10	2	1
GCA_029168495.1	SAMN33464299	PRJNA939377	Acinetobacter soli	Acinetobacter	12	11	1	91.667	11	2	1
GCA_029168515.1	SAMN33446730	PRJNA938821	Acinetobacter soli	Acinetobacter	14	13	1	92.857	12	2	1
GCA_029168535.1	SAMN33446731	PRJNA938822	Acinetobacter soli	Acinetobacter	13	12	1	92.308	11	2	1
GCA_029168555.1	SAMN33546470	PRJNA939911	Acinetobacter proteolyticus	Acinetobacter	16	13	3	81.25	12	2	1
GCA_029168575.1	SAMN33465245	PRJNA939378	Acinetobacter bereziniae	Acinetobacter	23	22	1	95.652	13	3	2
GCA_029223565.1	SAMN30697644	PRJNA738868	Acinetobacter baumannii	Acinetobacter	5	0	5	0.0	4	1	0
GCA_029278585.2	SAMN33678013	PRJNA942233	Klebsiella pneumoniae	Klebsiella	22	17	5	77.273	17	2	1
GCA_029459615.1	SAMN31681942	PRJNA900182	Acinetobacter baumannii	Acinetobacter	7	0	7	0.0	6	1	0
GCA_029459635.1	SAMN31681941	PRJNA900182	Acinetobacter baumannii	Acinetobacter	3	0	3	0.0	3	1	0
GCA_029459655.1	SAMN31681940	PRJNA900182	Acinetobacter baumannii	Acinetobacter	3	0	3	0.0	3	1	0
GCA_029459755.1	SAMN31681939	PRJNA900182	Acinetobacter baumannii	Acinetobacter	3	0	3	0.0	3	1	0
GCA_029459775.1	SAMN31681938	PRJNA900182	Acinetobacter baumannii	Acinetobacter	3	0	3	0.0	3	1	0
GCA_029581515.1	SAMN33866699	PRJNA947798	Klebsiella pneumoniae	Klebsiella	35	31	4	88.571	26	5	4
GCA_029582015.1	SAMN31681934	PRJNA900181	Acinetobacter baumannii	Acinetobacter	4	0	4	0.0	4	1	0
GCA_029674685.1	SAMN33498121	PRJNA939738	Acinetobacter baumannii	Acinetobacter	15	1	14	6.667	12	2	1
GCA_029674805.1	SAMN34062976	PRJNA951896	Acinetobacter baumannii	Acinetobacter	3	0	3	0.0	3	1	0
GCA_029674825.1	SAMN34062951	PRJNA951894	Acinetobacter baumannii	Acinetobacter	3	0	3	0.0	3	1	0
GCA_029674845.1	SAMN34062947	PRJNA951891	Acinetobacter baumannii	Acinetobacter	3	0	3	0.0	3	1	0
GCA_029713745.1	SAMN27010278	PRJNA819214	Acinetobacter baumannii	Acinetobacter	11	0	11	0.0	9	1	0
GCA_029713765.1	SAMN27010269	PRJNA819214	Acinetobacter baumannii	Acinetobacter	10	0	10	0.0	9	1	0
GCA_029713785.1	SAMN27010289	PRJNA819214	Acinetobacter baumannii	Acinetobacter	18	1	17	5.556	14	2	1
GCA_029713845.1	SAMN27010291	PRJNA819214	Acinetobacter baumannii	Acinetobacter	12	0	12	0.0	10	1	0
GCA_029713865.1	SAMN27010238	PRJNA819214	Acinetobacter baumannii	Acinetobacter	14	5	9	35.714	11	2	1
GCA_029713905.1	SAMN27010277	PRJNA819214	Acinetobacter baumannii	Acinetobacter	12	0	12	0.0	10	1	0
GCA_029713925.1	SAMN27010270	PRJNA819214	Acinetobacter baumannii	Acinetobacter	11	0	11	0.0	9	1	0
GCA_029713945.1	SAMN27010231	PRJNA819214	Acinetobacter baumannii	Acinetobacter	20	1	19	5.0	15	2	1
GCA_029713965.1	SAMN27010258	PRJNA819214	Acinetobacter baumannii	Acinetobacter	13	1	12	7.692	10	2	1
GCA_029714005.1	SAMN27010219	PRJNA819214	Acinetobacter baumannii	Acinetobacter	18	1	17	5.556	14	2	1
GCA_029714045.1	SAMN27010226	PRJNA819214	Acinetobacter baumannii	Acinetobacter	7	0	7	0.0	5	1	0
GCA_029714085.1	SAMN27010253	PRJNA819214	Acinetobacter baumannii	Acinetobacter	13	0	13	0.0	11	1	0
GCA_029714105.1	SAMN27010284	PRJNA819214	Acinetobacter baumannii	Acinetobacter	16	0	16	0.0	14	1	0
GCA_029714145.1	SAMN27010192	PRJNA819214	Acinetobacter baumannii	Acinetobacter	11	0	11	0.0	9	1	0
GCA_029714165.1	SAMN27010256	PRJNA819214	Acinetobacter baumannii	Acinetobacter	9	0	9	0.0	8	1	0
GCA_029741845.3	SAMN34174964	PRJNA288601	Klebsiella pneumoniae	Klebsiella	18	14	4	77.778	16	3	2
GCA_029748815.1	SAMN27010271	PRJNA819214	Acinetobacter baumannii	Acinetobacter	14	0	14	0.0	12	1	0
GCA_029749115.3	SAMN34174867	PRJNA288601	Klebsiella pneumoniae	Klebsiella	20	16	4	80.0	20	2	1
GCA_029767905.3	SAMN34191879	PRJNA812595	Acinetobacter baumannii	Acinetobacter	14	0	14	0.0	12	1	0
GCA_029774195.1	SAMN30697790	PRJNA877402	Acinetobacter baumannii	Acinetobacter	6	1	5	16.667	4	2	1
GCA_029774235.2	SAMN16560994	PRJNA672213	Acinetobacter baumannii	Acinetobacter	13	1	12	7.692	11	2	1
GCA_029774275.1	SAMN16560993	PRJNA672213	Acinetobacter baumannii	Acinetobacter	13	1	12	7.692	11	2	1
GCA_029774295.1	SAMN16560992	PRJNA672213	Acinetobacter baumannii	Acinetobacter	13	1	12	7.692	11	2	1
GCA_029774315.1	SAMN19690115	PRJNA672213	Acinetobacter baumannii	Acinetobacter	13	1	12	7.692	11	2	1
GCA_029774335.1	SAMN19690116	PRJNA672213	Acinetobacter baumannii	Acinetobacter	13	1	12	7.692	11	2	1
GCA_029774355.1	SAMN19690117	PRJNA672213	Acinetobacter baumannii	Acinetobacter	13	1	12	7.692	11	2	1
GCA_029814975.1	SAMN16560991	PRJNA672213	Acinetobacter baumannii	Acinetobacter	13	1	12	7.692	11	2	1
GCA_029847455.2	SAMN34163920	PRJNA565663	Acinetobacter baumannii	Acinetobacter	3	0	3	0.0	3	1	0
GCA_029873195.1	SAMN31210261	PRJNA888154	Acinetobacter pittii	Acinetobacter	8	1	7	12.5	7	2	1
GCA_029873415.1	SAMN34233930	PRJNA956928	Enterobacter hormaechei	Enterobacter	18	14	4	77.778	17	3	2
GCA_029906465.1	SAMN34258005	PRJNA957585	Acinetobacter pittii	Acinetobacter	11	7	4	63.636	10	3	2
GCA_029909475.1	SAMN34271990	PRJNA820789	Acinetobacter baumannii	Acinetobacter	3	1	2	33.333	2	2	1
GCA_029916905.1	SAMN34266404	PRJNA957799	Acinetobacter bereziniae	Acinetobacter	9	8	1	88.889	9	4	3
GCA_029916945.1	SAMN34266403	PRJNA957799	Acinetobacter bereziniae	Acinetobacter	9	8	1	88.889	9	5	4
GCA_029931545.1	SAMN34247094	PRJNA957137	Acinetobacter baumannii	Acinetobacter	3	0	3	0.0	3	1	0
GCA_029953535.1	SAMN34209599	PRJNA956314	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCA_029961365.1	SAMN20674994	PRJNA878812	Pseudomonas aeruginosa	Pseudomonas	16	3	13	18.75	11	2	1
GCA_029961705.1	SAMN34061983	PRJNA949442	Acinetobacter radioresistens	Acinetobacter	1	0	1	0.0	1	1	0
GCA_029962545.1	SAMN26573028	PRJNA812965	Enterobacter hormaechei	Enterobacter	27	23	4	85.185	21	2	1
GCA_029962565.1	SAMN26443382	PRJNA812965	Enterobacter hormaechei	Enterobacter	11	7	4	63.636	11	2	1
GCA_029972295.1	SAMN31152636	PRJNA288601	Klebsiella michiganensis	Klebsiella	23	19	4	82.609	20	5	4
GCA_029987435.1	SAMN31055411	PRJNA878512	Acinetobacter pittii	Acinetobacter	2	0	2	0.0	2	1	0
GCA_030019695.1	SAMN34589552	PRJNA395086	Klebsiella pneumoniae	Klebsiella	15	11	4	73.333	15	2	1
GCA_030027985.1	SAMN34376193	PRJNA961977	Acinetobacter baumannii	Acinetobacter	6	0	6	0.0	6	1	0
GCA_030028005.1	SAMN34376192	PRJNA961977	Acinetobacter baumannii	Acinetobacter	6	0	6	0.0	6	1	0
GCA_030062135.1	SAMN32721909	PRJNA923392	Acinetobacter haemolyticus	Acinetobacter	2	0	2	0.0	2	1	0
GCA_030168245.1	SAMN27957725	PRJNA833057	Acinetobacter baumannii	Acinetobacter	6	0	6	0.0	6	1	0
GCA_030168265.1	SAMN27918892	PRJNA281531	Acinetobacter baumannii	Acinetobacter	4	0	4	0.0	4	1	0
GCA_030168285.1	SAMN27988045	PRJNA833420	Acinetobacter baumannii	Acinetobacter	13	0	13	0.0	12	1	0
GCA_030178495.1	SAMN30974104	PRJNA288601	Klebsiella pneumoniae	Klebsiella	7	2	5	28.571	5	3	2
GCA_030178535.1	SAMN30974100	PRJNA288601	Klebsiella pneumoniae	Klebsiella	15	11	4	73.333	14	4	3
GCA_030178695.1	SAMN30974097	PRJNA288601	Klebsiella pneumoniae	Klebsiella	15	11	4	73.333	14	4	3
GCA_030178845.1	SAMN30974095	PRJNA288601	Klebsiella pneumoniae	Klebsiella	14	10	4	71.429	13	3	2
GCA_030179315.1	SAMN30974105	PRJNA288601	Enterobacter hormaechei	Enterobacter	32	28	4	87.5	23	4	3
GCA_030179615.1	SAMN30974098	PRJNA288601	Enterobacter hormaechei	Enterobacter	28	24	4	85.714	23	4	3
GCA_030179725.1	SAMN30974118	PRJNA288601	Pseudomonas aeruginosa	Pseudomonas	10	5	5	50.0	9	2	1
GCA_030179745.1	SAMN30974115	PRJNA288601	Pseudomonas aeruginosa	Pseudomonas	10	7	3	70.0	9	3	2
GCA_030179765.1	SAMN30974114	PRJNA288601	Pseudomonas aeruginosa	Pseudomonas	15	1	14	6.667	10	2	1
GCA_030179785.1	SAMN30974112	PRJNA288601	Klebsiella pneumoniae	Klebsiella	15	11	4	73.333	14	4	3
GCA_030179855.1	SAMN30974108	PRJNA288601	Klebsiella pneumoniae	Klebsiella	15	11	4	73.333	14	4	3
GCA_030316095.1	SAMN35722428	PRJNA701400	Pseudomonas aeruginosa	Pseudomonas	19	0	19	0.0	11	1	0
GCA_030322945.1	SAMN27553639	PRJNA826226	Acinetobacter nosocomialis	Acinetobacter	12	11	1	91.667	12	3	2
GCA_030366015.2	SAMN34393151	PRJNA962265	Pseudomonas aeruginosa	Pseudomonas	10	1	9	10.0	9	2	1
GCA_030368395.2	SAMN34393043	PRJNA962265	Pseudomonas aeruginosa	Pseudomonas	10	1	9	10.0	10	2	1
GCA_030368495.2	SAMN34393026	PRJNA962265	Pseudomonas aeruginosa	Pseudomonas	14	0	14	0.0	11	1	0
GCA_030387695.1	SAMN35878179	PRJNA788509	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCA_030387715.1	SAMN35878176	PRJNA788509	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCA_030387735.1	SAMN35878177	PRJNA788509	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCA_030387755.1	SAMN35878178	PRJNA788509	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCA_030387785.1	SAMN35878161	PRJNA788509	Klebsiella pneumoniae	Klebsiella	8	2	6	25.0	7	3	2
GCA_030387805.1	SAMN35878175	PRJNA788509	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCA_030387825.1	SAMN35878174	PRJNA788509	Klebsiella pneumoniae	Klebsiella	17	13	4	76.471	16	4	3
GCA_030387875.1	SAMN35878173	PRJNA788509	Klebsiella pneumoniae	Klebsiella	24	20	4	83.333	21	4	3
GCA_030387895.1	SAMN35878169	PRJNA788509	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCA_030387915.1	SAMN35878171	PRJNA788509	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCA_030387965.1	SAMN35878166	PRJNA788509	Klebsiella pneumoniae	Klebsiella	21	17	4	80.952	15	3	2
GCA_030388005.1	SAMN35878165	PRJNA788509	Klebsiella pneumoniae	Klebsiella	16	10	6	62.5	14	3	2
GCA_030388035.1	SAMN35878163	PRJNA788509	Klebsiella pneumoniae	Klebsiella	10	6	4	60.0	10	2	1
GCA_030388055.1	SAMN35878153	PRJNA788509	Klebsiella pneumoniae	Klebsiella	31	25	6	80.645	15	3	2
GCA_030388105.1	SAMN35878158	PRJNA788509	Klebsiella pneumoniae	Klebsiella	27	23	4	85.185	15	3	2
GCA_030388125.1	SAMN35878152	PRJNA788509	Klebsiella pneumoniae	Klebsiella	13	9	4	69.231	13	2	1
GCA_030388145.1	SAMN35878151	PRJNA788509	Klebsiella pneumoniae	Klebsiella	15	11	4	73.333	15	2	1
GCA_030388165.1	SAMN35878157	PRJNA788509	Klebsiella pneumoniae	Klebsiella	12	8	4	66.667	12	4	3
GCA_030388195.1	SAMN35878155	PRJNA788509	Klebsiella pneumoniae	Klebsiella	14	10	4	71.429	14	3	2
GCA_030388505.1	SAMN35878156	PRJNA788509	Klebsiella pneumoniae	Klebsiella	25	20	5	80.0	21	7	6
GCA_030388525.1	SAMN35878154	PRJNA788509	Klebsiella pneumoniae	Klebsiella	16	12	4	75.0	13	4	3
GCA_030388545.1	SAMN35878145	PRJNA788509	Klebsiella pneumoniae	Klebsiella	17	13	4	76.471	14	3	2
GCA_030388565.1	SAMN35878149	PRJNA788509	Klebsiella pneumoniae	Klebsiella	6	2	4	33.333	4	2	1
GCA_030388585.1	SAMN35878146	PRJNA788509	Klebsiella pneumoniae	Klebsiella	7	3	4	42.857	6	2	1
GCA_030388605.1	SAMN35878148	PRJNA788509	Klebsiella pneumoniae	Klebsiella	15	11	4	73.333	15	3	2
GCA_030388625.1	SAMN35878147	PRJNA788509	Klebsiella pneumoniae	Klebsiella	19	14	5	73.684	18	4	3
GCA_030389785.1	SAMN35878150	PRJNA788509	Klebsiella pneumoniae	Klebsiella	15	11	4	73.333	14	5	4
GCA_030389805.1	SAMN35878144	PRJNA788509	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCA_030389875.1	SAMN35878162	PRJNA788509	Klebsiella pneumoniae	Klebsiella	9	2	7	22.222	7	3	2
GCA_030389985.1	SAMN35878159	PRJNA788509	Klebsiella pneumoniae	Klebsiella	26	22	4	84.615	16	2	1
GCA_030390005.1	SAMN35878160	PRJNA788509	Klebsiella pneumoniae	Klebsiella	15	11	4	73.333	15	2	1
GCA_030390035.1	SAMN35878168	PRJNA788509	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCA_030412705.1	SAMN35878170	PRJNA788509	Klebsiella pneumoniae	Klebsiella	4	0	4	0.0	4	1	0
GCA_030412765.1	SAMN30974107	PRJNA288601	Klebsiella pneumoniae	Klebsiella	16	10	6	62.5	14	3	2
GCA_030413705.1	SAMN36085765	PRJNA989410	Acinetobacter baumannii	Acinetobacter	10	6	4	60.0	10	3	2
GCA_030518655.1	SAMN36465267	PRJNA995064	Acinetobacter variabilis	Acinetobacter	19	14	5	73.684	12	3	2
GCA_030585225.1	SAMN12287008	PRJNA557486	Acinetobacter baumannii	Acinetobacter	17	2	15	11.765	15	2	1
GCA_030585245.1	SAMN12287006	PRJNA557486	Acinetobacter baumannii	Acinetobacter	17	2	15	11.765	15	2	1
GCA_030585265.1	SAMN12287004	PRJNA557486	Acinetobacter baumannii	Acinetobacter	9	2	7	22.222	6	2	1
GCA_030585285.1	SAMN12287002	PRJNA557486	Acinetobacter baumannii	Acinetobacter	16	2	14	12.5	14	2	1
GCA_030585325.1	SAMN12286998	PRJNA557486	Acinetobacter baumannii	Acinetobacter	16	2	14	12.5	14	2	1
GCA_030585345.1	SAMN13480523	PRJNA557486	Acinetobacter baumannii	Acinetobacter	9	2	7	22.222	6	2	1
GCA_030585365.1	SAMN13480522	PRJNA557486	Acinetobacter baumannii	Acinetobacter	13	2	11	15.385	10	2	1
GCA_030585385.1	SAMN13480520	PRJNA557486	Acinetobacter baumannii	Acinetobacter	8	2	6	25.0	6	2	1
GCA_030585405.1	SAMN13480521	PRJNA557486	Acinetobacter baumannii	Acinetobacter	8	2	6	25.0	6	2	1
GCA_030704325.1	SAMN36514286	PRJNA812595	Acinetobacter baumannii	Acinetobacter	12	0	12	0.0	10	1	0
GCA_030718955.1	SAMN27992995	PRJNA288601	Enterobacter hormaechei	Enterobacter	31	26	5	83.871	26	3	2
GCA_030718975.1	SAMN25755500	PRJNA812595	Acinetobacter baumannii	Acinetobacter	14	0	14	0.0	12	1	0
GCA_030867405.1	SAMN34117139	PRJNA953498	Acinetobacter johnsonii	Acinetobacter	21	20	1	95.238	16	8	7
GCA_030913305.1	SAMN37020857	PRJNA1006328	Klebsiella variicola	Klebsiella	4	0	4	0.0	4	1	0
GCA_031172635.1	SAMN35883625	PRJNA987035	Klebsiella pneumoniae	Klebsiella	18	15	3	83.333	15	4	3
GCA_031326185.1	SAMN34266403	PRJNA1006702	Acinetobacter bereziniae	Acinetobacter	9	8	1	88.889	9	4	3
GCA_031480695.3	SAMN35572876	PRJNA288601	Pseudomonas aeruginosa	Pseudomonas	25	0	25	0.0	19	1	0
GCA_031885195.1	SAMN33770883	PRJNA945016	Acinetobacter faecalis	Acinetobacter	1	0	1	0.0	1	1	0
GCA_032594495.1	SAMN36661286	PRJNA996987	Acinetobacter calcoaceticus	Acinetobacter	1	0	1	0.0	1	1	0
GCA_032634445.3	SAMN37709326	PRJNA812595	Acinetobacter baumannii	Acinetobacter	7	0	7	0.0	5	1	0
GCA_032734545.3	SAMN35880175	PRJNA288601	Pseudomonas aeruginosa	Pseudomonas	27	0	27	0.0	20	1	0
GCA_032820875.1	SAMN33787961	PRJNA949389	Acinetobacter towneri	Acinetobacter	1	1	0	100.0	1	1	1
GCA_032822615.1	SAMN33787963	PRJNA949389	Acinetobacter baumannii	Acinetobacter	3	0	3	0.0	3	1	0
GCA_032824215.1	SAMN33787965	PRJNA949389	Acinetobacter chinensis	Acinetobacter	4	3	1	75.0	4	2	1
GCA_032878795.1	SAMN30309086	PRJNA869506	Pseudomonas aeruginosa	Pseudomonas	9	0	9	0.0	8	1	0
GCA_032934835.1	SAMN17039450	PRJNA288601	Pseudomonas aeruginosa	Pseudomonas	12	0	12	0.0	10	1	0
GCA_033044015.2	SAMN37984267	PRJNA288601	Klebsiella pneumoniae	Klebsiella	16	12	4	75.0	13	3	2
GCA_033044095.2	SAMN37984268	PRJNA288601	Klebsiella pneumoniae	Klebsiella	17	13	4	76.471	14	3	2
GCA_033095825.1	SAMN31258396	PRJNA889817	Acinetobacter sp.	Acinetobacter	1	0	1	0.0	1	1	0
GCA_033155075.1	SAMN09842395	PRJNA353728	Klebsiella pneumoniae	Klebsiella	8	4	4	50.0	8	2	1
GCA_033181005.1	SAMN36429575	PRJNA1027604	Acinetobacter baumannii	Acinetobacter	13	0	13	0.0	12	1	0
GCA_033181805.1	SAMN36429572	PRJNA1027604	Acinetobacter baumannii	Acinetobacter	12	1	11	8.333	10	2	1
GCA_033187155.1	SAMN37654786	PRJNA1023193	Acinetobacter baumannii	Acinetobacter	19	0	19	0.0	8	1	0
GCA_033187975.1	SAMN37654785	PRJNA1023193	Acinetobacter baumannii	Acinetobacter	11	0	11	0.0	8	1	0
GCA_033188675.1	SAMN37654784	PRJNA1023193	Acinetobacter baumannii	Acinetobacter	13	0	13	0.0	8	1	0
GCA_033189435.1	SAMN37654783	PRJNA1023193	Acinetobacter baumannii	Acinetobacter	7	0	7	0.0	7	1	0
GCA_033189955.1	SAMN37654782	PRJNA1023193	Acinetobacter baumannii	Acinetobacter	9	0	9	0.0	9	1	0
GCA_033189995.1	SAMN37654781	PRJNA1023193	Acinetobacter baumannii	Acinetobacter	11	0	11	0.0	8	1	0
GCA_033190015.1	SAMN37654780	PRJNA1023193	Acinetobacter baumannii	Acinetobacter	3	0	3	0.0	3	1	0
GCA_033190095.1	SAMN37654778	PRJNA1023193	Acinetobacter baumannii	Acinetobacter	3	0	3	0.0	3	1	0
GCA_033190675.1	SAMN37654777	PRJNA1023193	Acinetobacter baumannii	Acinetobacter	11	0	11	0.0	8	1	0
GCA_033190815.1	SAMN37654776	PRJNA1023193	Acinetobacter baumannii	Acinetobacter	11	0	11	0.0	8	1	0
GCA_033191195.1	SAMN37654775	PRJNA1023193	Acinetobacter baumannii	Acinetobacter	11	0	11	0.0	8	1	0
GCA_033191435.1	SAMN37643086	PRJNA1023193	Acinetobacter baumannii	Acinetobacter	9	0	9	0.0	8	1	0
GCA_033192035.1	SAMN37643064	PRJNA1023193	Acinetobacter baumannii	Acinetobacter	3	0	3	0.0	3	1	0
GCA_033378915.2	SAMN31178860	PRJNA561493	Acinetobacter baumannii	Acinetobacter	23	0	23	0.0	17	1	0
GCA_033439925.1	SAMN37871729	PRJNA1029512	Acinetobacter sp.	Acinetobacter	13	13	0	100.0	11	3	3
GCA_033469325.1	SAMN37654779	PRJNA1023193	Acinetobacter baumannii	Acinetobacter	5	2	3	40.0	5	3	2
GCA_033541995.2	SAMN38075111	PRJNA962265	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCA_033547135.1	SAMN38084286	PRJNA962265	Pseudomonas aeruginosa	Pseudomonas	7	2	5	28.571	7	2	1
GCA_033557205.1	SAMN32291813	PRJNA913302	Acinetobacter towneri	Acinetobacter	14	14	0	100.0	13	2	2
GCA_033558715.1	SAMN32299415	PRJNA913449	Acinetobacter sp.	Acinetobacter	19	17	2	89.474	15	4	3
GCA_033612615.1	SAMN38047912	PRJNA995413	Acinetobacter baumannii	Acinetobacter	3	0	3	0.0	3	1	0
GCA_033711495.1	SAMN35113005	PRJNA288601	Acinetobacter baumannii	Acinetobacter	2	0	2	0.0	2	1	0
GCA_033850705.2	SAMN38335504	PRJNA288601	Klebsiella pneumoniae	Klebsiella	22	13	9	59.091	17	3	2
GCA_033850835.2	SAMN38335508	PRJNA288601	Klebsiella aerogenes	Klebsiella	8	4	4	50.0	8	2	1
GCA_033858775.1	SAMN38040187	PRJNA1033641	Klebsiella pneumoniae	Klebsiella	44	40	4	90.909	34	4	3
GCA_034047135.1	SAMN38153248	PRJNA1036853	Acinetobacter haemolyticus	Acinetobacter	2	0	2	0.0	2	1	0
GCA_034063485.1	SAMN38315730	PRJNA1042645	Acinetobacter pittii	Acinetobacter	3	0	3	0.0	3	1	0
GCA_034064985.1	SAMN38315713	PRJNA1042645	Acinetobacter pittii	Acinetobacter	2	0	2	0.0	2	1	0
GCA_034066105.1	SAMN38315711	PRJNA1042645	Acinetobacter pittii	Acinetobacter	3	0	3	0.0	3	1	0
GCA_034066905.1	SAMN38315710	PRJNA1042645	Acinetobacter pittii	Acinetobacter	3	0	3	0.0	3	1	0
GCA_034067285.1	SAMN38315703	PRJNA1042645	Acinetobacter pittii	Acinetobacter	2	0	2	0.0	2	1	0
GCA_034068265.1	SAMN38315709	PRJNA1042645	Acinetobacter pittii	Acinetobacter	2	0	2	0.0	2	1	0
GCA_034068865.1	SAMN38315712	PRJNA1042645	Acinetobacter pittii	Acinetobacter	3	1	2	33.333	2	2	1
GCA_034069865.1	SAMN38315708	PRJNA1042645	Acinetobacter pittii	Acinetobacter	2	0	2	0.0	2	1	0
GCA_034070325.1	SAMN38315702	PRJNA1042645	Acinetobacter pittii	Acinetobacter	3	0	3	0.0	3	1	0
GCA_034071365.1	SAMN38315706	PRJNA1042645	Acinetobacter pittii	Acinetobacter	2	0	2	0.0	2	1	0
GCA_034071845.1	SAMN38315707	PRJNA1042645	Acinetobacter pittii	Acinetobacter	3	0	3	0.0	3	1	0
GCA_034072545.1	SAMN38315705	PRJNA1042645	Acinetobacter pittii	Acinetobacter	3	0	3	0.0	3	1	0
GCA_034073245.1	SAMN38315704	PRJNA1042645	Acinetobacter pittii	Acinetobacter	6	3	3	50.0	6	2	1
GCA_034073905.1	SAMN19016597	PRJNA658369	Klebsiella pneumoniae	Klebsiella	13	9	4	69.231	13	3	2
GCA_034074665.1	SAMN15868737	PRJNA658369	Klebsiella pneumoniae	Klebsiella	13	9	4	69.231	13	3	2
GCA_034075585.1	SAMN15869164	PRJNA658369	Klebsiella pneumoniae	Klebsiella	7	3	4	42.857	7	3	2
GCA_034076465.1	SAMN15868726	PRJNA658369	Klebsiella pneumoniae	Klebsiella	17	13	4	76.471	16	3	2
GCA_034077205.1	SAMN15868158	PRJNA658369	Klebsiella pneumoniae	Klebsiella	17	13	4	76.471	16	3	2
GCA_034081005.1	SAMN38345631	PRJNA1043602	Acinetobacter baumannii	Acinetobacter	3	0	3	0.0	3	1	0
GCA_034083075.1	SAMN38345664	PRJNA1043609	Acinetobacter baumannii	Acinetobacter	4	1	3	25.0	4	2	1
GCA_034126645.2	SAMN38646042	PRJNA812595	Acinetobacter baumannii	Acinetobacter	18	0	18	0.0	15	1	0
GCA_034126905.2	SAMN38646043	PRJNA812595	Acinetobacter baumannii	Acinetobacter	18	0	18	0.0	15	1	0
GCA_034127025.2	SAMN38646029	PRJNA288601	Pseudomonas aeruginosa	Pseudomonas	5	0	5	0.0	5	1	0
GCA_034331205.2	SAMN38788845	PRJNA812595	Acinetobacter baumannii	Acinetobacter	6	0	6	0.0	5	1	0
GCA_034422775.1	SAMN38635275	PRJNA779589	Acinetobacter baumannii	Acinetobacter	24	16	8	66.667	12	5	4
