table	column	storage_type	semantic_type	definition	denominator	nullable	curation_state
genome_level_summary.tsv	pct_plasmid	number	number	Per-genome plasmid percentage. NOTE: the mean of this column is 35.932 %, which is NOT the 36.586 % genome-collapsed event share. See the denominator dictionary.	genome	no	curated
genome_level_summary.tsv	n_distinct_families	integer	integer	Distinct gene families in the genome.	genome	no	curated
genome_level_summary.tsv	n_arg_bearing_replicons	integer	integer	Replicons carrying at least one ARG.	replicon	no	curated
genome_level_summary.tsv	n_arg_bearing_plasmids	integer	integer	Plasmids carrying at least one ARG.	replicon	no	curated
headline_recomputation.tsv	gene_family	text	category	Determinant family.	occurrence	no	curated
headline_recomputation.tsv	independent_n_plasmid	integer	integer	Plasmid count from the independent re-implementation.	occurrence	no	curated
headline_recomputation.tsv	pipeline_n_plasmid	integer	integer	Plasmid count from the pipeline.	occurrence	no	curated
headline_recomputation.tsv	independent_n_chromosome	integer	integer	Chromosomal count, independent.	occurrence	no	curated
headline_recomputation.tsv	pipeline_n_chromosome	integer	integer	Chromosomal count, pipeline.	occurrence	no	curated
headline_recomputation.tsv	independent_odds_ratio	number	number	Odds ratio, independent.	occurrence	no	curated
headline_recomputation.tsv	pipeline_odds_ratio	number	number	Odds ratio, pipeline.	occurrence	no	curated
headline_recomputation.tsv	agreement	text	category	Whether the two agree.	-	no	curated
independent_verification_report_v2.tsv	check	text	text	Name of the independent verification check.	-	no	curated
independent_verification_report_v2.tsv	independent_value	integer	text	Value from the independent re-implementation.	-	no	curated
independent_verification_report_v2.tsv	pipeline_value	integer	text	Value from the pipeline under test.	-	no	curated
independent_verification_report_v2.tsv	agreement	text	category	Whether the two values agree.	-	no	curated
portability_class_reconciliation.tsv	portability_class	text	category	A, B, C, D, E or __TOTAL__.	occurrence	no	curated
portability_class_reconciliation.tsv	n	integer	integer	Occurrences in the class.	occurrence	no	curated
portability_class_reconciliation.tsv	pct_of_74349	number	number	Percentage of the PRIMARY denominator.	occurrence	no	curated
PORTABILITYRISK_CLAIM_STATUS_MATRIX_V5.tsv	claim_id	text	identifier	Stable claim identifier, C01..C20.	-	no	curated
PORTABILITYRISK_CLAIM_STATUS_MATRIX_V5.tsv	claim	text	text	The claim in one sentence.	-	no	curated
PORTABILITYRISK_CLAIM_STATUS_MATRIX_V5.tsv	tier_proposed	text	category	Evidence tier proposed for the manuscript.	-	no	curated
PORTABILITYRISK_CLAIM_STATUS_MATRIX_V5.tsv	evidence_class	text	category	Kind of evidence supporting the claim.	-	no	curated
PORTABILITYRISK_CLAIM_STATUS_MATRIX_V5.tsv	supporting_module	text	category	Validation module that supports it.	-	no	curated
PORTABILITYRISK_CLAIM_STATUS_MATRIX_V5.tsv	status	text	category	HEADLINE READY, supported, blocked, withdraw or not evaluated.	-	no	curated
PORTABILITYRISK_CLAIM_STATUS_MATRIX_V5.tsv	reason	text	text	Why the claim holds the status it does.	-	no	curated
PORTABILITYRISK_CLAIM_STATUS_MATRIX_V5.tsv	affects_central_narrative	text	category	Whether the central argument depends on it.	-	no	curated
PORTABILITYRISK_CLAIM_STATUS_MATRIX_V5.tsv	required_qualifier	text	text	Wording that MUST accompany the claim.	-	no	curated
PORTABILITYRISK_CLAIM_STATUS_MATRIX_V5.tsv	nmdist_effect	text	text	How NM-DIST and NMIS changed the claim's standing.	-	no	curated
PORTABILITYRISK_ERROR_AND_DEVIATION_REGISTER_V4.tsv	seq	integer	integer	Sequential entry number.	-	no	curated
PORTABILITYRISK_ERROR_AND_DEVIATION_REGISTER_V4.tsv	date_detected	text	text	Date the defect was detected (ISO).	-	no	curated
PORTABILITYRISK_ERROR_AND_DEVIATION_REGISTER_V4.tsv	item	text	text	What the defect was.	-	no	curated
PORTABILITYRISK_ERROR_AND_DEVIATION_REGISTER_V4.tsv	detected_by	text	text	How it was found.	-	no	curated
PORTABILITYRISK_ERROR_AND_DEVIATION_REGISTER_V4.tsv	affected_a_reported_result	text	category	Whether a reported result was affected.	-	no	curated
PORTABILITYRISK_ERROR_AND_DEVIATION_REGISTER_V4.tsv	corrective_artefact	text	text	The artefact created to correct it.	-	no	curated
PORTABILITYRISK_ERROR_AND_DEVIATION_REGISTER_V4.tsv	correction_timing	text	category	pre-outcome, during execution, or post-outcome.	-	no	curated
PORTABILITYRISK_ERROR_AND_DEVIATION_REGISTER_V4.tsv	residual_scientific_consequence	text	text	What consequence remains, if any.	-	no	curated
PORTABILITYRISK_ERROR_AND_DEVIATION_REGISTER_V4.tsv	disclosure_level	text	category	Where the defect is disclosed.	-	no	curated
PORTABILITYRISK_VALIDATION_LEDGER_V4.tsv	module	text	category	Validation module, e.g. NM-V1C, NM-DIST, NMIS.	-	no	curated
PORTABILITYRISK_VALIDATION_LEDGER_V4.tsv	scientific_question	text	text	The question the module was registered to answer.	-	no	curated
PORTABILITYRISK_VALIDATION_LEDGER_V4.tsv	frozen_design_sha256	text	identifier	SHA-256 of the protocol frozen before any outcome was read.	-	no	curated
PORTABILITYRISK_VALIDATION_LEDGER_V4.tsv	population_or_sample	text	text	What the module ran over.	-	no	curated
PORTABILITYRISK_VALIDATION_LEDGER_V4.tsv	primary_estimand	text	text	The registered primary quantity.	-	no	curated
PORTABILITYRISK_VALIDATION_LEDGER_V4.tsv	result	text	text	The measured result.	-	no	curated
PORTABILITYRISK_VALIDATION_LEDGER_V4.tsv	uncertainty	text	text	Interval and resampling scheme.	-	no	curated
PORTABILITYRISK_VALIDATION_LEDGER_V4.tsv	gate	text	text	The registered success condition.	-	no	curated
PORTABILITYRISK_VALIDATION_LEDGER_V4.tsv	verdict	text	category	PASS, FAIL, QUALIFIED, PARTIAL, SUCCESS or CORROBORATION.	-	no	curated
PORTABILITYRISK_VALIDATION_LEDGER_V4.tsv	scope_of_what_passed	text	text	Exactly what the verdict licenses.	-	no	curated
PORTABILITYRISK_VALIDATION_LEDGER_V4.tsv	what_was_not_tested	text	text	Explicit limits of the module.	-	no	curated
PORTABILITYRISK_VALIDATION_LEDGER_V4.tsv	dependencies	text	text	Frozen inputs the module consumed.	-	no	curated
PORTABILITYRISK_VALIDATION_LEDGER_V4.tsv	known_defects_or_deviations	text	text	Deviations recorded during execution.	-	no	curated
PORTABILITYRISK_VALIDATION_LEDGER_V4.tsv	manuscript_use	text	text	How the result may be used in the manuscript.	-	no	curated
nmis_census_status.tsv	block_id	text	identifier	Shared chromosomal context block identifier.	context block	no	curated
nmis_census_status.tsv	status	text	category	Per-block census outcome; 'ok' for all 21,955.	context block	no	curated
nmis_census_status.tsv	exit	integer	integer	Tool exit code; 0 for all blocks.	context block	no	curated
nmis_census_status.tsv	rows	integer	integer	ISEScan output rows for the block.	context block	no	curated
nmis_census_status.tsv	ms	integer	integer	Wall-clock milliseconds for the block.	context block	no	curated
