assembly_accession	assembly_version	replicon_accession	replicon_name	replicon_length	topology	species	genus	bioproject_accession	n_chromosomal_arg_occurrences	n_context_blocks	download_url	local_filename	expected_checksum
GCF_020097235.1	GCF_020097235.1	NZ_CP083620.1	chromosome	4723885	circular	Enterobacter bugandensis	Enterobacter	PRJNA231221	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP083620.1&rettype=fasta&retmode=text	NZ_CP083620.1.fna	
GCF_020099235.1	GCF_020099235.1	NZ_CP083641.1	chromosome	4723885	circular	Enterobacter bugandensis	Enterobacter	PRJNA231221	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP083641.1&rettype=fasta&retmode=text	NZ_CP083641.1.fna	
GCF_020099255.1	GCF_020099255.1	NZ_CP083643.1	chromosome	4723885	circular	Enterobacter bugandensis	Enterobacter	PRJNA231221	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP083643.1&rettype=fasta&retmode=text	NZ_CP083643.1.fna	
GCF_023374275.1	GCF_023374275.1	NZ_CP097255.1	chromosome	4631472	circular	Enterobacter bugandensis	Enterobacter	PRJNA833245	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP097255.1&rettype=fasta&retmode=text	NZ_CP097255.1.fna	
GCF_031216605.1	GCF_031216605.1	NZ_CP110985.1	chromosome	4931041	circular	Enterobacter bugandensis	Enterobacter	PRJNA901438	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP110985.1&rettype=fasta&retmode=text	NZ_CP110985.1.fna	
GCF_031218175.1	GCF_031218175.1	NZ_CP110983.1	chromosome	4717736	circular	Enterobacter bugandensis	Enterobacter	PRJNA901437	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP110983.1&rettype=fasta&retmode=text	NZ_CP110983.1.fna	
GCF_031851455.1	GCF_031851455.1	NZ_CP134639.1	chromosome	4777428	circular	Enterobacter bugandensis	Enterobacter	PRJNA1013080	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP134639.1&rettype=fasta&retmode=text	NZ_CP134639.1.fna	
GCF_035658275.1	GCF_035658275.1	NZ_CP141897.1	chromosome	4845912	circular	Enterobacter bugandensis	Enterobacter	PRJNA1060877	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP141897.1&rettype=fasta&retmode=text	NZ_CP141897.1.fna	
GCF_035847925.1	GCF_035847925.1	NZ_CP142002.1	chromosome	4821486	circular	Enterobacter bugandensis	Enterobacter	PRJNA1060220	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP142002.1&rettype=fasta&retmode=text	NZ_CP142002.1.fna	
GCF_037008725.1	GCF_037008725.1	NZ_CP150021.1	chromosome	4746766	circular	Enterobacter bugandensis	Enterobacter	PRJNA812595	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP150021.1&rettype=fasta&retmode=text	NZ_CP150021.1.fna	
GCF_037008945.1	GCF_037008945.1	NZ_CP149825.1	chromosome	4746764	circular	Enterobacter bugandensis	Enterobacter	PRJNA812595	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP149825.1&rettype=fasta&retmode=text	NZ_CP149825.1.fna	
GCF_043966825.1	GCF_043966825.1	NZ_CP143681.1	chromosome	4819014	circular	Enterobacter bugandensis	Enterobacter	PRJNA1067818	5	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP143681.1&rettype=fasta&retmode=text	NZ_CP143681.1.fna	
GCF_043967505.1	GCF_043967505.1	NZ_CP143687.1	chromosome	4757349	circular	Enterobacter bugandensis	Enterobacter	PRJNA1067818	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP143687.1&rettype=fasta&retmode=text	NZ_CP143687.1.fna	
GCF_043970685.1	GCF_043970685.1	NZ_CP143725.1	chromosome	4695112	circular	Enterobacter bugandensis	Enterobacter	PRJNA1067818	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP143725.1&rettype=fasta&retmode=text	NZ_CP143725.1.fna	
GCF_043971365.1	GCF_043971365.1	NZ_CP143735.1	chromosome	4763060	circular	Enterobacter bugandensis	Enterobacter	PRJNA1067818	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP143735.1&rettype=fasta&retmode=text	NZ_CP143735.1.fna	
GCF_043972025.1	GCF_043972025.1	NZ_CP143739.1	chromosome	4712876	circular	Enterobacter bugandensis	Enterobacter	PRJNA1067818	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP143739.1&rettype=fasta&retmode=text	NZ_CP143739.1.fna	
GCF_900324475.1	GCF_900324475.1	NZ_LT992502.1	I	4717613	linear	Enterobacter bugandensis	Enterobacter	PRJEB11452	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_LT992502.1&rettype=fasta&retmode=text	NZ_LT992502.1.fna	
GCF_002850575.1	GCF_002850575.1	NZ_CP025225.1	chromosome	4796512	circular	Enterobacter cancerogenus	Enterobacter	PRJNA420145	1	1	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP025225.1&rettype=fasta&retmode=text	NZ_CP025225.1.fna	
GCF_009648915.1	GCF_009648915.1	NZ_CP045769.1	chromosome	4893729	circular	Enterobacter cancerogenus	Enterobacter	PRJNA541977	2	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP045769.1&rettype=fasta&retmode=text	NZ_CP045769.1.fna	
GCF_019047785.1	GCF_019047785.1	NZ_CP077290.1	chromosome	4821734	circular	Enterobacter cancerogenus	Enterobacter	PRJNA231221	2	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP077290.1&rettype=fasta&retmode=text	NZ_CP077290.1.fna	
GCF_019880465.1	GCF_019880465.1	NZ_CP082280.1	chromosome	4691581	circular	Enterobacter cancerogenus	Enterobacter	PRJNA640255	2	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP082280.1&rettype=fasta&retmode=text	NZ_CP082280.1.fna	
GCF_046272195.1	GCF_046272195.1	NZ_CP176717.1	chromosome	4893787	circular	Enterobacter cancerogenus	Enterobacter	PRJNA1101017	2	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP176717.1&rettype=fasta&retmode=text	NZ_CP176717.1.fna	
GCF_904425455.1	GCF_904425455.1	NZ_LR881936.1	chromosome	4813601	circular	Enterobacter cancerogenus	Enterobacter	PRJEB40359	2	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_LR881936.1&rettype=fasta&retmode=text	NZ_LR881936.1.fna	
GCF_001984825.2	GCF_001984825.2	NZ_CP043318.1	chromosome	5111427	circular	Enterobacter chengduensis	Enterobacter	PRJNA415108	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP043318.1&rettype=fasta&retmode=text	NZ_CP043318.1.fna	
GCF_043971375.1	GCF_043971375.1	NZ_CP143738.1	chromosome	5087745	circular	Enterobacter chengduensis	Enterobacter	PRJNA1067818	17	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP143738.1&rettype=fasta&retmode=text	NZ_CP143738.1.fna	
GCF_039718975.1	GCF_039718975.1	NZ_CP097173.1	chromosome	4664824	circular	Enterobacter chuandaensis	Enterobacter	PRJNA827035	3	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP097173.1&rettype=fasta&retmode=text	NZ_CP097173.1.fna	
GCF_045278925.1	GCF_045278925.1	NZ_CP135253.1	chromosome	4872395	circular	Enterobacter chuandaensis	Enterobacter	PRJNA1021038	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP135253.1&rettype=fasta&retmode=text	NZ_CP135253.1.fna	
GCF_045348695.1	GCF_045348695.1	NZ_CP162195.1	chromosome	4618890	circular	Enterobacter chuandaensis	Enterobacter	PRJNA1134078	6	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP162195.1&rettype=fasta&retmode=text	NZ_CP162195.1.fna	
GCA_013736615.1	GCA_013736615.1	CP056474.1	chromosome	4831308	circular	Enterobacter cloacae	Enterobacter	PRJNA605147	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP056474.1&rettype=fasta&retmode=text	CP056474.1.fna	
GCA_013739155.1	GCA_013739155.1	CP056766.1	chromosome	4737746	circular	Enterobacter cloacae	Enterobacter	PRJNA605147	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP056766.1&rettype=fasta&retmode=text	CP056766.1.fna	
GCA_013747975.1	GCA_013747975.1	CP056441.1	chromosome	4683875	circular	Enterobacter cloacae	Enterobacter	PRJNA605147	3	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP056441.1&rettype=fasta&retmode=text	CP056441.1.fna	
GCA_013750175.1	GCA_013750175.1	CP056560.1	chromosome	5120370	circular	Enterobacter cloacae	Enterobacter	PRJNA605147	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP056560.1&rettype=fasta&retmode=text	CP056560.1.fna	
GCA_015137855.1	GCA_015137855.1	AP022509.1	chromosome	4853939	circular	Enterobacter cloacae	Enterobacter	PRJDB9036	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=AP022509.1&rettype=fasta&retmode=text	AP022509.1.fna	
GCA_017347405.1	GCA_017347405.1	AP024495.1	chromosome	4846950	circular	Enterobacter cloacae	Enterobacter	PRJDB11244	3	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=AP024495.1&rettype=fasta&retmode=text	AP024495.1.fna	
GCA_019998725.1	GCA_019998725.1	CP083234.1	chromosome	4631732	circular	Enterobacter cloacae	Enterobacter	PRJNA757181	3	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP083234.1&rettype=fasta&retmode=text	CP083234.1.fna	
GCA_020695565.1	GCA_020695565.1	CP085734.1	chromosome	4909201	circular	Enterobacter cloacae	Enterobacter	PRJNA772913	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP085734.1&rettype=fasta&retmode=text	CP085734.1.fna	
GCA_020886835.1	GCA_020886835.1	AP024913.1	chromosome	4984255	circular	Enterobacter cloacae	Enterobacter	PRJDB11945	3	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=AP024913.1&rettype=fasta&retmode=text	AP024913.1.fna	
GCA_025908375.1	GCA_025908375.1	CP109679.1	chromosome	4762392	circular	Enterobacter cloacae	Enterobacter	PRJNA884522	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP109679.1&rettype=fasta&retmode=text	CP109679.1.fna	
GCA_027595725.1	GCA_027595725.1	CP074548.1	chromosome	4889752	circular	Enterobacter cloacae	Enterobacter	PRJNA667445	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=CP074548.1&rettype=fasta&retmode=text	CP074548.1.fna	
GCA_905219305.2	GCA_905219305.2	OW849000.1	chromosome	4917649	circular	Enterobacter cloacae	Enterobacter	PRJEB42440	2	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=OW849000.1&rettype=fasta&retmode=text	OW849000.1.fna	
GCA_905232785.2	GCA_905232785.2	OW849167.1	chromosome	4729496	circular	Enterobacter cloacae	Enterobacter	PRJEB42440	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=OW849167.1&rettype=fasta&retmode=text	OW849167.1.fna	
GCA_905233035.2	GCA_905233035.2	OW849382.1	chromosome	4988649	circular	Enterobacter cloacae	Enterobacter	PRJEB42440	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=OW849382.1&rettype=fasta&retmode=text	OW849382.1.fna	
GCA_905233065.2	GCA_905233065.2	OW849356.1	chromosome	4846626	circular	Enterobacter cloacae	Enterobacter	PRJEB42440	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=OW849356.1&rettype=fasta&retmode=text	OW849356.1.fna	
GCA_905330125.2	GCA_905330125.2	OW967944.1	chromosome	4986143	circular	Enterobacter cloacae	Enterobacter	PRJEB42440	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=OW967944.1&rettype=fasta&retmode=text	OW967944.1.fna	
GCA_905330335.2	GCA_905330335.2	OW968026.1	chromosome	4663323	circular	Enterobacter cloacae	Enterobacter	PRJEB42440	3	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=OW968026.1&rettype=fasta&retmode=text	OW968026.1.fna	
GCA_905330345.2	GCA_905330345.2	OW968018.1	chromosome	4854432	circular	Enterobacter cloacae	Enterobacter	PRJEB42440	2	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=OW968018.1&rettype=fasta&retmode=text	OW968018.1.fna	
GCA_905331205.2	GCA_905331205.2	OW968331.1	chromosome	4919202	circular	Enterobacter cloacae	Enterobacter	PRJEB42440	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=OW968331.1&rettype=fasta&retmode=text	OW968331.1.fna	
GCA_905333945.2	GCA_905333945.2	OW969624.1	chromosome	4749841	circular	Enterobacter cloacae	Enterobacter	PRJEB42440	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=OW969624.1&rettype=fasta&retmode=text	OW969624.1.fna	
GCA_905334015.2	GCA_905334015.2	OW969620.1	chromosome	4685927	circular	Enterobacter cloacae	Enterobacter	PRJEB42440	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=OW969620.1&rettype=fasta&retmode=text	OW969620.1.fna	
GCA_905337795.2	GCA_905337795.2	OW969724.1	chromosome	4835190	circular	Enterobacter cloacae	Enterobacter	PRJEB42440	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=OW969724.1&rettype=fasta&retmode=text	OW969724.1.fna	
GCF_002982195.1	GCF_002982195.1	NZ_CP020089.1	chromosome	5272177	circular	Enterobacter cloacae	Enterobacter	PRJNA376861	2	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP020089.1&rettype=fasta&retmode=text	NZ_CP020089.1.fna	
GCF_003010695.1	GCF_003010695.1	NZ_CP027618.1	chromosome	4971441	circular	Enterobacter cloacae	Enterobacter	PRJNA292902	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP027618.1&rettype=fasta&retmode=text	NZ_CP027618.1.fna	
GCF_003071645.1	GCF_003071645.1	NZ_CP028950.1	chromosome	4849791	circular	Enterobacter cloacae	Enterobacter	PRJNA292902	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP028950.1&rettype=fasta&retmode=text	NZ_CP028950.1.fna	
GCF_004193715.1	GCF_004193715.1	NZ_CP035738.1	chromosome	4792737	circular	Enterobacter cloacae	Enterobacter	PRJNA520972	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP035738.1&rettype=fasta&retmode=text	NZ_CP035738.1.fna	
GCF_009707405.1	GCF_009707405.1	NZ_CP046116.1	chromosome	5033927	circular	Enterobacter cloacae	Enterobacter	PRJNA589672	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP046116.1&rettype=fasta&retmode=text	NZ_CP046116.1.fna	
GCF_013376815.1	GCF_013376815.1	NZ_CP056776.1	chromosome	5316635	circular	Enterobacter cloacae	Enterobacter	PRJNA640151	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP056776.1&rettype=fasta&retmode=text	NZ_CP056776.1.fna	
GCF_013736395.1	GCF_013736395.1	NZ_CP056460.1	chromosome	5004501	circular	Enterobacter cloacae	Enterobacter	PRJNA605147	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP056460.1&rettype=fasta&retmode=text	NZ_CP056460.1.fna	
GCF_016864115.1	GCF_016864115.1	NZ_CP045487.1	chromosome	5006044	circular	Enterobacter cloacae	Enterobacter	PRJNA576640	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP045487.1&rettype=fasta&retmode=text	NZ_CP045487.1.fna	
GCF_018140965.1	GCF_018140965.1	NZ_CP073310.1	chromosome	5419017	circular	Enterobacter cloacae	Enterobacter	PRJNA722384	9	7	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP073310.1&rettype=fasta&retmode=text	NZ_CP073310.1.fna	
GCF_019047105.1	GCF_019047105.1	NZ_CP077211.1	chromosome	5316745	circular	Enterobacter cloacae	Enterobacter	PRJNA231221	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP077211.1&rettype=fasta&retmode=text	NZ_CP077211.1.fna	
GCF_019056635.1	GCF_019056635.1	NZ_CP077659.1	chromosome	4851460	circular	Enterobacter cloacae	Enterobacter	PRJNA737181	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP077659.1&rettype=fasta&retmode=text	NZ_CP077659.1.fna	
GCF_019056655.1	GCF_019056655.1	NZ_CP077661.1	chromosome	4727601	circular	Enterobacter cloacae	Enterobacter	PRJNA737183	12	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP077661.1&rettype=fasta&retmode=text	NZ_CP077661.1.fna	
GCF_020149545.1	GCF_020149545.1	NZ_CP083709.1	chromosome	4711286	circular	Enterobacter cloacae	Enterobacter	PRJNA757181	3	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP083709.1&rettype=fasta&retmode=text	NZ_CP083709.1.fna	
GCF_020540925.1	GCF_020540925.1	NZ_CP085080.1	chromosome	4918254	circular	Enterobacter cloacae	Enterobacter	PRJNA769740	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP085080.1&rettype=fasta&retmode=text	NZ_CP085080.1.fna	
GCF_020882135.1	GCF_020882135.1	NZ_CP086408.1	chromosome	4961034	circular	Enterobacter cloacae	Enterobacter	PRJNA777726	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP086408.1&rettype=fasta&retmode=text	NZ_CP086408.1.fna	
GCF_021496745.1	GCF_021496745.1	NZ_CP053568.1	chromosome	5095077	circular	Enterobacter cloacae	Enterobacter	PRJNA633246	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP053568.1&rettype=fasta&retmode=text	NZ_CP053568.1.fna	
GCF_021497605.1	GCF_021497605.1	NZ_CP071861.1	chromosome	4798859	circular	Enterobacter cloacae	Enterobacter	PRJNA714529	3	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP071861.1&rettype=fasta&retmode=text	NZ_CP071861.1.fna	
GCF_021869625.1	GCF_021869625.1	NZ_CP091496.1	chromosome	4762277	circular	Enterobacter cloacae	Enterobacter	PRJNA800174	7	5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP091496.1&rettype=fasta&retmode=text	NZ_CP091496.1.fna	
GCF_021869645.1	GCF_021869645.1	NZ_CP091492.1	chromosome	4896079	circular	Enterobacter cloacae	Enterobacter	PRJNA800173	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP091492.1&rettype=fasta&retmode=text	NZ_CP091492.1.fna	
GCF_021869665.1	GCF_021869665.1	NZ_CP091486.1	chromosome	4757882	circular	Enterobacter cloacae	Enterobacter	PRJNA800172	7	5	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP091486.1&rettype=fasta&retmode=text	NZ_CP091486.1.fna	
GCF_021869685.1	GCF_021869685.1	NZ_CP091481.1	chromosome	4838024	circular	Enterobacter cloacae	Enterobacter	PRJNA800171	3	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP091481.1&rettype=fasta&retmode=text	NZ_CP091481.1.fna	
GCF_022220405.1	GCF_022220405.1	NZ_CP092042.1	chromosome	4950718	circular	Enterobacter cloacae	Enterobacter	PRJNA803974	2	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP092042.1&rettype=fasta&retmode=text	NZ_CP092042.1.fna	
GCF_023023085.1	GCF_023023085.1	NZ_CP083821.1	chromosome	4751455	circular	Enterobacter cloacae	Enterobacter	PRJNA762162	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP083821.1&rettype=fasta&retmode=text	NZ_CP083821.1.fna	
GCF_023238665.1	GCF_023238665.1	NZ_CP093914.1	chromosome	4746662	circular	Enterobacter cloacae	Enterobacter	PRJNA816615	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP093914.1&rettype=fasta&retmode=text	NZ_CP093914.1.fna	
GCF_023920605.1	GCF_023920605.1	NZ_CP092635.1	chromosome	5350777	circular	Enterobacter cloacae	Enterobacter	PRJNA473419	19	6	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP092635.1&rettype=fasta&retmode=text	NZ_CP092635.1.fna	
GCF_024138875.1	GCF_024138875.1	NZ_CP071792.1	chromosome	4839040	circular	Enterobacter cloacae	Enterobacter	PRJNA713617	7	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP071792.1&rettype=fasta&retmode=text	NZ_CP071792.1.fna	
GCF_024599795.1	GCF_024599795.1	NZ_CP102246.1	chromosome	4952526	circular	Enterobacter cloacae	Enterobacter	PRJNA861833	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP102246.1&rettype=fasta&retmode=text	NZ_CP102246.1.fna	
GCF_024917615.1	GCF_024917615.1	NZ_CP103611.1	chromosome	4944105	circular	Enterobacter cloacae	Enterobacter	PRJNA836696	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP103611.1&rettype=fasta&retmode=text	NZ_CP103611.1.fna	
GCF_025426135.1	GCF_025426135.1	NZ_CP104836.1	chromosome	4934545	circular	Enterobacter cloacae	Enterobacter	PRJNA812595	2	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP104836.1&rettype=fasta&retmode=text	NZ_CP104836.1.fna	
GCF_029873395.1	GCF_029873395.1	NZ_CP123598.1	chromosome	4880529	circular	Enterobacter cloacae	Enterobacter	PRJNA956928	3	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP123598.1&rettype=fasta&retmode=text	NZ_CP123598.1.fna	
GCF_030166415.1	GCF_030166415.1	NZ_CP126341.1	chromosome	5033581	circular	Enterobacter cloacae	Enterobacter	PRJNA974949	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP126341.1&rettype=fasta&retmode=text	NZ_CP126341.1.fna	
GCF_030406505.2	GCF_030406505.2	NZ_CP130342.1	chromosome	4968149	circular	Enterobacter cloacae	Enterobacter	PRJNA985272	4	3	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP130342.1&rettype=fasta&retmode=text	NZ_CP130342.1.fna	
GCF_031432835.1	GCF_031432835.1	NZ_CP133860.1	chromosome	4709296	circular	Enterobacter cloacae	Enterobacter	PRJNA1010831	3	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP133860.1&rettype=fasta&retmode=text	NZ_CP133860.1.fna	
GCF_031851625.1	GCF_031851625.1	NZ_CP134674.1	chromosome	4854386	circular	Enterobacter cloacae	Enterobacter	PRJNA1013080	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP134674.1&rettype=fasta&retmode=text	NZ_CP134674.1.fna	
GCF_032349915.1	GCF_032349915.1	NZ_CP135475.1	chromosome	5138701	circular	Enterobacter cloacae	Enterobacter	PRJNA1020811	7	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP135475.1&rettype=fasta&retmode=text	NZ_CP135475.1.fna	
GCF_032352615.1	GCF_032352615.1	NZ_CP135498.1	chromosome	4866809	circular	Enterobacter cloacae	Enterobacter	PRJNA1020811	3	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP135498.1&rettype=fasta&retmode=text	NZ_CP135498.1.fna	
GCF_033802605.1	GCF_033802605.1	NZ_CP138440.1	chromosome	4815571	circular	Enterobacter cloacae	Enterobacter	PRJNA599529	3	2	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP138440.1&rettype=fasta&retmode=text	NZ_CP138440.1.fna	
GCF_040059225.1	GCF_040059225.1	NZ_CP157375.1	chromosome	4704681	circular	Enterobacter cloacae	Enterobacter	PRJNA1112354	5	4	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=NZ_CP157375.1&rettype=fasta&retmode=text	NZ_CP157375.1.fna	
