assembly_version	organism	scheme	st	profile
GCA_038442305.1	Acinetobacter baumannii	abaumannii_2	25	Pas_cpn60(3),Pas_fusA(3),Pas_gltA(2),Pas_pyrG(4),Pas_recA(7),Pas_rplB(2),Pas_rpoB(4)
GCA_036701095.1	Acinetobacter baumannii	abaumannii_2	10	Pas_cpn60(1),Pas_fusA(3),Pas_gltA(2),Pas_pyrG(1),Pas_recA(4),Pas_rplB(4),Pas_rpoB(4)
GCA_036718155.2	Acinetobacter baumannii	abaumannii_2	2512	Pas_cpn60(1),Pas_fusA(2),Pas_gltA(1),Pas_pyrG(2),Pas_recA(65),Pas_rplB(1),Pas_rpoB(5)
GCA_038069255.2	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_038983805.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_034083075.1	Acinetobacter baumannii	abaumannii_2	52	Pas_cpn60(3),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(7),Pas_recA(9),Pas_rplB(1),Pas_rpoB(5)
GCA_037429075.2	Acinetobacter baumannii	abaumannii_2	78	Pas_cpn60(25),Pas_fusA(3),Pas_gltA(6),Pas_pyrG(2),Pas_recA(28),Pas_rplB(1),Pas_rpoB(29)
GCA_036689575.1	Acinetobacter baumannii	abaumannii_2	10	Pas_cpn60(1),Pas_fusA(3),Pas_gltA(2),Pas_pyrG(1),Pas_recA(4),Pas_rplB(4),Pas_rpoB(4)
GCA_037751415.2	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_038442395.1	Acinetobacter baumannii	abaumannii_2	25	Pas_cpn60(3),Pas_fusA(3),Pas_gltA(2),Pas_pyrG(4),Pas_recA(7),Pas_rplB(2),Pas_rpoB(4)
GCA_034081005.1	Acinetobacter baumannii	abaumannii_2	1153	Pas_cpn60(8),Pas_fusA(3),Pas_gltA(10),Pas_pyrG(1),Pas_recA(4),Pas_rplB(2),Pas_rpoB(4)
GCA_036320755.1	Acinetobacter baumannii	abaumannii_2	1	Pas_cpn60(1),Pas_fusA(1),Pas_gltA(1),Pas_pyrG(1),Pas_recA(5),Pas_rplB(1),Pas_rpoB(1)
GCA_035754475.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_038441255.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_037008745.2	Acinetobacter baumannii	abaumannii_2	78	Pas_cpn60(25),Pas_fusA(3),Pas_gltA(6),Pas_pyrG(2),Pas_recA(28),Pas_rplB(1),Pas_rpoB(29)
GCA_038627255.2	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_038418285.2	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_038627275.2	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_038069235.2	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_036870965.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_038522965.2	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_038418265.2	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_038442385.1	Acinetobacter baumannii	abaumannii_2	25	Pas_cpn60(3),Pas_fusA(3),Pas_gltA(2),Pas_pyrG(4),Pas_recA(7),Pas_rplB(2),Pas_rpoB(4)
GCA_039518815.2	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_036584025.1	Acinetobacter baumannii	abaumannii_2	150	Pas_cpn60(39),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(4),Pas_rplB(27),Pas_rpoB(4)
GCA_036287255.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_038442585.1	Acinetobacter baumannii	abaumannii_2	25	Pas_cpn60(3),Pas_fusA(3),Pas_gltA(2),Pas_pyrG(4),Pas_recA(7),Pas_rplB(2),Pas_rpoB(4)
GCA_034331205.2	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_034494405.1	Acinetobacter baumannii	abaumannii_2	1142	Pas_cpn60(34),Pas_fusA(4),Pas_gltA(37),Pas_pyrG(1),Pas_recA(5),Pas_rplB(6),Pas_rpoB(36)
GCA_036602705.1	Acinetobacter baumannii	abaumannii_2	1	Pas_cpn60(1),Pas_fusA(1),Pas_gltA(1),Pas_pyrG(1),Pas_recA(5),Pas_rplB(1),Pas_rpoB(1)
GCA_038442235.1	Acinetobacter baumannii	abaumannii_2	25	Pas_cpn60(3),Pas_fusA(3),Pas_gltA(2),Pas_pyrG(4),Pas_recA(7),Pas_rplB(2),Pas_rpoB(4)
GCA_033850835.2	Klebsiella aerogenes	klebsiella	-	gapA(168),infB(~196),mdh(-),pgi(~198),phoE(463),rpoB(165),tonB(-)
GCA_037008665.2	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_038627335.2	Acinetobacter baumannii	abaumannii_2	78	Pas_cpn60(25),Pas_fusA(3),Pas_gltA(6),Pas_pyrG(2),Pas_recA(28),Pas_rplB(1),Pas_rpoB(29)
GCA_038441235.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_038442425.1	Acinetobacter baumannii	abaumannii_2	25	Pas_cpn60(3),Pas_fusA(3),Pas_gltA(2),Pas_pyrG(4),Pas_recA(7),Pas_rplB(2),Pas_rpoB(4)
GCA_037939845.1	Acinetobacter baumannii	abaumannii_2	1336	Pas_cpn60(1),Pas_fusA(3),Pas_gltA(40),Pas_pyrG(2),Pas_recA(7),Pas_rplB(1),Pas_rpoB(1)
GCA_038441205.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_037100235.1	Klebsiella michiganensis	klebsiella	-	gapA(~147),infB(-),mdh(-),pgi(-),phoE(-),rpoB(~276),tonB(-)
GCA_038442295.1	Acinetobacter baumannii	abaumannii_2	25	Pas_cpn60(3),Pas_fusA(3),Pas_gltA(2),Pas_pyrG(4),Pas_recA(7),Pas_rplB(2),Pas_rpoB(4)
GCA_038987955.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_034074665.1	Klebsiella pneumoniae	klebsiella	11	gapA(3),infB(3),mdh(1),pgi(1),phoE(1),rpoB(1),tonB(4)
GCA_038990075.1	Acinetobacter baumannii	abaumannii_2	164	Pas_cpn60(40),Pas_fusA(3),Pas_gltA(7),Pas_pyrG(2),Pas_recA(40),Pas_rplB(4),Pas_rpoB(4)
GCA_035666135.1	Acinetobacter baumannii	abaumannii_2	-	Pas_cpn60(26),Pas_fusA(2),Pas_gltA(6),Pas_pyrG(2),Pas_recA(5),Pas_rplB(1),Pas_rpoB(5)
GCA_038441245.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_038993615.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_038442285.1	Acinetobacter baumannii	abaumannii_2	25	Pas_cpn60(3),Pas_fusA(3),Pas_gltA(2),Pas_pyrG(4),Pas_recA(7),Pas_rplB(2),Pas_rpoB(4)
GCA_034076465.1	Klebsiella pneumoniae	klebsiella	893	gapA(25),infB(1),mdh(101),pgi(1),phoE(10),rpoB(1),tonB(100)
GCA_036601155.1	Acinetobacter baumannii	abaumannii_2	1	Pas_cpn60(1),Pas_fusA(1),Pas_gltA(1),Pas_pyrG(1),Pas_recA(5),Pas_rplB(1),Pas_rpoB(1)
GCA_038442415.1	Acinetobacter baumannii	abaumannii_2	25	Pas_cpn60(3),Pas_fusA(3),Pas_gltA(2),Pas_pyrG(4),Pas_recA(7),Pas_rplB(2),Pas_rpoB(4)
GCA_034077205.1	Klebsiella pneumoniae	klebsiella	893	gapA(25),infB(1),mdh(101),pgi(1),phoE(10),rpoB(1),tonB(100)
GCA_038442565.1	Acinetobacter baumannii	abaumannii_2	25	Pas_cpn60(3),Pas_fusA(3),Pas_gltA(2),Pas_pyrG(4),Pas_recA(7),Pas_rplB(2),Pas_rpoB(4)
GCA_038442265.1	Acinetobacter baumannii	abaumannii_2	25	Pas_cpn60(3),Pas_fusA(3),Pas_gltA(2),Pas_pyrG(4),Pas_recA(7),Pas_rplB(2),Pas_rpoB(4)
GCA_037477775.2	Klebsiella pneumoniae	klebsiella	-	gapA(3),infB(1),mdh(~419),pgi(4),phoE(1),rpoB(1),tonB(4)
GCA_038441195.1	Acinetobacter baumannii	abaumannii_2	195	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(1),Pas_rpoB(2)
GCA_038441325.1	Acinetobacter baumannii	abaumannii_2	32	Pas_cpn60(1),Pas_fusA(1),Pas_gltA(2),Pas_pyrG(2),Pas_recA(3),Pas_rplB(4),Pas_rpoB(4)
GCA_034075585.1	Klebsiella pneumoniae	klebsiella	23	gapA(2),infB(1),mdh(1),pgi(1),phoE(9),rpoB(4),tonB(12)
GCA_038442225.1	Acinetobacter baumannii	abaumannii_2	25	Pas_cpn60(3),Pas_fusA(3),Pas_gltA(2),Pas_pyrG(4),Pas_recA(7),Pas_rplB(2),Pas_rpoB(4)
GCA_038995905.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_039566025.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_038441225.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_038442125.1	Acinetobacter baumannii	abaumannii_2	32	Pas_cpn60(1),Pas_fusA(1),Pas_gltA(2),Pas_pyrG(2),Pas_recA(3),Pas_rplB(4),Pas_rpoB(4)
GCA_038442635.1	Acinetobacter baumannii	abaumannii_2	25	Pas_cpn60(3),Pas_fusA(3),Pas_gltA(2),Pas_pyrG(4),Pas_recA(7),Pas_rplB(2),Pas_rpoB(4)
GCA_038442405.1	Acinetobacter baumannii	abaumannii_2	25	Pas_cpn60(3),Pas_fusA(3),Pas_gltA(2),Pas_pyrG(4),Pas_recA(7),Pas_rplB(2),Pas_rpoB(4)
GCA_034422815.1	Acinetobacter baumannii	abaumannii_2	85	Pas_cpn60(5),Pas_fusA(2),Pas_gltA(4),Pas_pyrG(1),Pas_recA(3),Pas_rplB(3),Pas_rpoB(4)
GCA_038992355.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_038442275.1	Acinetobacter baumannii	abaumannii_2	25	Pas_cpn60(3),Pas_fusA(3),Pas_gltA(2),Pas_pyrG(4),Pas_recA(7),Pas_rplB(2),Pas_rpoB(4)
GCA_038998165.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_038442095.1	Acinetobacter baumannii	abaumannii_2	32	Pas_cpn60(1),Pas_fusA(1),Pas_gltA(2),Pas_pyrG(2),Pas_recA(3),Pas_rplB(4),Pas_rpoB(4)
GCA_038985835.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_034073905.1	Klebsiella pneumoniae	klebsiella	11	gapA(3),infB(3),mdh(1),pgi(1),phoE(1),rpoB(1),tonB(4)
GCA_038441215.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_038442555.1	Acinetobacter baumannii	abaumannii_2	25	Pas_cpn60(3),Pas_fusA(3),Pas_gltA(2),Pas_pyrG(4),Pas_recA(7),Pas_rplB(2),Pas_rpoB(4)
GCA_034554715.1	Klebsiella pneumoniae	klebsiella	11	gapA(3),infB(3),mdh(1),pgi(1),phoE(1),rpoB(1),tonB(4)
GCA_037082035.1	Klebsiella pneumoniae	klebsiella	152	gapA(2),infB(3),mdh(2),pgi(1),phoE(1),rpoB(4),tonB(56)
GCA_037082025.1	Klebsiella pneumoniae	klebsiella	392	gapA(3),infB(4),mdh(6),pgi(1),phoE(7),rpoB(4),tonB(40)
GCA_037082005.1	Klebsiella pneumoniae	klebsiella	307	gapA(4),infB(1),mdh(2),pgi(52),phoE(1),rpoB(1),tonB(7)
GCA_034554695.1	Klebsiella pneumoniae	klebsiella	23	gapA(2),infB(1),mdh(1),pgi(1),phoE(9),rpoB(4),tonB(12)
GCA_037807855.1	Klebsiella pneumoniae	klebsiella	11	gapA(3),infB(3),mdh(1),pgi(1),phoE(1),rpoB(1),tonB(4)
GCA_034553075.1	Klebsiella pneumoniae	klebsiella	11	gapA(3),infB(3),mdh(1),pgi(1),phoE(1),rpoB(1),tonB(4)
GCA_036541125.1	Klebsiella pneumoniae	klebsiella	76	gapA(4),infB(1),mdh(1),pgi(1),phoE(21),rpoB(1),tonB(35)
GCA_037081905.1	Klebsiella quasipneumoniae	klebsiella	571	gapA(17),infB(19),mdh(79),pgi(20),phoE(108),rpoB(55),tonB(142)
GCA_037966435.2	Klebsiella pneumoniae	klebsiella	485	gapA(2),infB(1),mdh(1),pgi(1),phoE(7),rpoB(1),tonB(12)
GCA_034424135.1	Klebsiella pneumoniae	klebsiella	101	gapA(2),infB(6),mdh(1),pgi(5),phoE(4),rpoB(1),tonB(6)
GCA_033858775.1	Klebsiella pneumoniae	klebsiella	273	gapA(3),infB(4),mdh(6),pgi(1),phoE(7),rpoB(4),tonB(4)
GCA_036542305.1	Klebsiella pneumoniae	klebsiella	-	gapA(~3),infB(3),mdh(1),pgi(1),phoE(1),rpoB(1),tonB(4)
GCA_040529325.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_040957165.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_041154795.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_041154865.1	Acinetobacter baumannii	abaumannii_2	-	Pas_cpn60(3),Pas_fusA(3),Pas_gltA(2),Pas_pyrG(4),Pas_recA(7),Pas_rplB(2),Pas_rpoB(-)
GCA_040529285.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_041154835.1	Acinetobacter baumannii	abaumannii_2	10	Pas_cpn60(1),Pas_fusA(3),Pas_gltA(2),Pas_pyrG(1),Pas_recA(4),Pas_rplB(4),Pas_rpoB(4)
GCA_040273015.2	Acinetobacter baumannii	abaumannii_2	78	Pas_cpn60(25),Pas_fusA(3),Pas_gltA(6),Pas_pyrG(2),Pas_recA(28),Pas_rplB(1),Pas_rpoB(29)
GCA_040536965.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_040529265.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_041154875.1	Acinetobacter baumannii	abaumannii_2	1	Pas_cpn60(1),Pas_fusA(1),Pas_gltA(1),Pas_pyrG(1),Pas_recA(5),Pas_rplB(1),Pas_rpoB(1)
GCA_040956905.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_040529245.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_040822405.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_040898785.2	Acinetobacter baumannii	abaumannii_2	-	Pas_cpn60(2,2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_041154855.1	Acinetobacter baumannii	abaumannii_2	149	Pas_cpn60(3),Pas_fusA(12),Pas_gltA(11),Pas_pyrG(2),Pas_recA(14),Pas_rplB(9),Pas_rpoB(14)
GCA_041154825.1	Acinetobacter baumannii	abaumannii_2	164	Pas_cpn60(40),Pas_fusA(3),Pas_gltA(7),Pas_pyrG(2),Pas_recA(40),Pas_rplB(4),Pas_rpoB(4)
GCA_040822125.1	Acinetobacter baumannii	abaumannii_2	10	Pas_cpn60(1),Pas_fusA(3),Pas_gltA(2),Pas_pyrG(1),Pas_recA(4),Pas_rplB(4),Pas_rpoB(4)
GCA_041154775.1	Acinetobacter baumannii	abaumannii_2	1	Pas_cpn60(1),Pas_fusA(1),Pas_gltA(1),Pas_pyrG(1),Pas_recA(5),Pas_rplB(1),Pas_rpoB(1)
GCA_041154815.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_040956925.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_040529255.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_041292025.2	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_040939585.2	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_040834015.1	Acinetobacter baumannii	abaumannii_2	1	Pas_cpn60(1),Pas_fusA(1),Pas_gltA(1),Pas_pyrG(1),Pas_recA(5),Pas_rplB(1),Pas_rpoB(1)
GCA_040822435.1	Acinetobacter baumannii	abaumannii_2	150	Pas_cpn60(39),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(4),Pas_rplB(27),Pas_rpoB(4)
GCA_040529295.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_040273095.2	Acinetobacter baumannii	abaumannii_2	499	Pas_cpn60(5),Pas_fusA(2),Pas_gltA(39),Pas_pyrG(2),Pas_recA(3),Pas_rplB(1),Pas_rpoB(5)
GCA_041154805.1	Acinetobacter baumannii	abaumannii_2	15	Pas_cpn60(6),Pas_fusA(6),Pas_gltA(8),Pas_pyrG(2),Pas_recA(3),Pas_rplB(5),Pas_rpoB(4)
GCA_040529275.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_040529305.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_040822385.1	Acinetobacter baumannii	abaumannii_2	575	Pas_cpn60(1),Pas_fusA(3),Pas_gltA(2),Pas_pyrG(1),Pas_recA(4),Pas_rplB(4),Pas_rpoB(92)
GCA_041760695.2	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_039653385.2	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_040543095.1	Acinetobacter baumannii	abaumannii_2	158	Pas_cpn60(41),Pas_fusA(42),Pas_gltA(13),Pas_pyrG(1),Pas_recA(5),Pas_rplB(4),Pas_rpoB(14)
GCA_040822395.1	Acinetobacter baumannii	abaumannii_2	10	Pas_cpn60(1),Pas_fusA(3),Pas_gltA(2),Pas_pyrG(1),Pas_recA(4),Pas_rplB(4),Pas_rpoB(4)
GCA_040536855.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_041292065.2	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_040703085.1	Acinetobacter baumannii	abaumannii_2	158	Pas_cpn60(41),Pas_fusA(42),Pas_gltA(13),Pas_pyrG(1),Pas_recA(5),Pas_rplB(4),Pas_rpoB(14)
GCA_040529235.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_041292045.2	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_040273435.2	Acinetobacter baumannii	abaumannii_2	499	Pas_cpn60(5),Pas_fusA(2),Pas_gltA(39),Pas_pyrG(2),Pas_recA(3),Pas_rplB(1),Pas_rpoB(5)
GCA_041154785.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_039654205.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_040930415.1	Acinetobacter baumannii	abaumannii_2	374	Pas_cpn60(3),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(3),Pas_rplB(4),Pas_rpoB(4)
GCA_040529225.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_040956955.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_041292005.2	Acinetobacter baumannii	abaumannii_2	499	Pas_cpn60(5),Pas_fusA(2),Pas_gltA(39),Pas_pyrG(2),Pas_recA(3),Pas_rplB(1),Pas_rpoB(5)
GCA_041014305.2	Acinetobacter baumannii	abaumannii_2	85	Pas_cpn60(5),Pas_fusA(2),Pas_gltA(4),Pas_pyrG(1),Pas_recA(3),Pas_rplB(3),Pas_rpoB(4)
GCA_039779435.1	Acinetobacter baumannii	abaumannii_2	1	Pas_cpn60(1),Pas_fusA(1),Pas_gltA(1),Pas_pyrG(1),Pas_recA(5),Pas_rplB(1),Pas_rpoB(1)
GCA_041154845.1	Acinetobacter baumannii	abaumannii_2	-	Pas_cpn60(3),Pas_fusA(~12),Pas_gltA(11),Pas_pyrG(2),Pas_recA(14),Pas_rplB(4),Pas_rpoB(14)
GCA_040801815.1	Acinetobacter baumannii	abaumannii_2	164	Pas_cpn60(40),Pas_fusA(3),Pas_gltA(7),Pas_pyrG(2),Pas_recA(40),Pas_rplB(4),Pas_rpoB(4)
GCA_040267665.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
GCA_040536955.1	Acinetobacter baumannii	abaumannii_2	2	Pas_cpn60(2),Pas_fusA(2),Pas_gltA(2),Pas_pyrG(2),Pas_recA(2),Pas_rplB(2),Pas_rpoB(2)
